yday,predicted_mean_temp,station,mean_temp,mean_do,mean_salinity,diff
128,8.840860233263466,js2_12,8.880558333333333,6.209123333333333,31.095028333333335,pos
130,8.87298930192533,js2_12,9.015172950819672,6.118765573770492,31.067031147540984,pos
135,9.211789282125423,js2_12,9.169193442622952,5.806527868852459,30.963540983606556,neg
142,9.293238303232853,js2_12,9.335724590163935,5.747416393442623,31.125547540983607,pos
147,9.366492256908119,js2_12,9.444418333333333,5.698951666666667,31.16123,pos
154,9.546499324633476,js2_12,9.6727622950819665,5.847372131147541,31.145426229508196,pos
163,9.695038860401311,js2_12,9.77860655737705,5.252311475409836,31.169077049180327,pos
168,9.76469355362577,js2_12,9.82925294117647,5.348831092436975,31.328041176470588,pos
176,9.920185166627043,js2_12,10.043553333333334,5.029121666666667,31.241005,pos
181,9.986376209488805,js2_12,10.123036666666668,4.961675,31.186898333333332,pos
186,10.02474139340619,js2_12,10.034736363636364,4.926589256198347,31.359359504132232,pos
188,10.035475327592179,js2_12,10.087459016393442,4.883162295081967,31.336913114754097,pos
194,10.096789606325272,js2_12,10.282063333333333,4.728298333333333,31.171016666666667,pos
195,10.11079328800107,js2_12,10.100371900826447,4.4757338842975205,31.277855371900827,neg
58,7.806643123556574,QU29,7.514019672131147,5.76112131147541,29.533667213114754,neg
128,10.112446517817622,QU29,9.7138,5.257967647058823,30.035779411764707,neg
157,11.2405268388626,QU29,10.81861,5.024443333333333,29.62187,neg
204,11.940800022460733,QU29,11.92476393442623,4.386916393442623,28.7644868852459,neg
43.5,7.872270365792651,QU29,7.872270365792651,NA,NA,NA
146.5,10.873871484260524,QU29,10.873871484260524,NA,NA,NA
179,11.901202092920691,QU29,11.901202092920691,NA,NA,NA
36,7.662658367378231,QU39,7.9503,5.098977049180328,29.175301639344262,pos
43,7.426199562496023,QU39,6.972265573770492,6.019781967213115,28.970765573770493,neg
52,7.282516817811716,QU39,6.830401666666667,6.266061666666666,28.958751666666668,neg
57,7.283650661503611,QU39,6.955237704918033,6.3554016393442625,29.026740983606558,neg
64,7.427742888218705,QU39,6.859904918032787,6.3568311475409836,29.203070491803278,neg
71,7.7094739766327685,QU39,7.315515,6.8069749999999996,29.251341666666665,neg
79,8.263958352590405,QU39,7.590563934426229,6.722081967213115,29.343545901639345,neg
86,8.770197761848358,QU39,8.275434426229507,7.78604262295082,29.304939344262294,neg
92,8.991300778292484,QU39,8.548974576271187,6.590888135593221,29.54437627118644,neg
100,9.168009999183734,QU39,9.119952459016394,6.809568852459017,29.40106557377049,neg
107,9.366736979793366,QU39,9.354995081967212,6.425903278688525,29.452003278688526,neg
122,10.216807366828652,QU39,9.890036666666667,5.4384033333333335,29.53975,neg
129,10.820363230776701,QU39,9.64499,4.74686,30.00925,neg
142,11.970868080366026,QU39,12.524896666666667,6.610393333333334,29.390723333333334,pos
149,12.225872456214043,QU39,11.158206666666667,5.412746666666667,29.3554,neg
155,11.969814712294395,QU39,11.832873333333334,5.680923333333333,29.099893333333334,neg
171,11.618465378801677,QU39,10.719866666666666,4.796786666666667,29.324353333333335,neg
176,11.589317231382944,QU39,11.404304918032787,5.60025737704918,29.188155737704918,neg
184,11.785752767416179,QU39,14.339933333333333,5.517743333333334,27.920803333333332,pos
190,12.029088264275735,QU39,14.95326,5.22472,26.859206666666665,pos
199,12.210818121390062,QU39,13.180676666666667,4.63512,27.55988333333333,pos
205,12.287172420087423,QU39,12.659628333333334,4.760511666666667,27.676688333333335,pos
211,12.312318684764337,QU39,10.805359016393442,3.836195081967213,28.72317868852459,neg
39.5,7.530351017006293,QU39,7.530351017006293,NA,NA,NA
135.5,11.424722033708115,QU39,11.424722033708115,NA,NA,NA
145.5,12.18532391665459,QU39,12.18532391665459,NA,NA,NA
152,12.112439869982877,QU39,12.112439869982877,NA,NA,NA
163,11.764891905757354,QU39,11.764891905757354,NA,NA,NA
180,11.643097657833657,QU39,11.643097657833657,NA,NA,NA
205,12.287172420087423,QU39,12.287172420087423,NA,NA,NA
