yday,min_temp,max_temp,station
99,9.058011475409836,9.058011475409836,js2_12
105,9.004061666666667,9.004061666666667,js2_12
110,9.084844262295082,9.084844262295082,js2_12
112,9.188354166666667,9.188354166666667,js2_12
113,9.210940495867769,9.210940495867769,js2_12
117,9.11136,9.11136,js2_12
118,9.244466666666666,9.244466666666666,js2_12
119,9.22387,9.22387,js2_12
123,9.226852459016394,9.527998360655738,js2_12
124,8.483145901639345,9.253254098360657,js2_12
125,8.4256140625,9.33367213114754,js2_12
126,8.364523770491804,8.364523770491804,js2_12
128,8.399226229508196,8.880558333333333,js2_12
130,8.895776666666666,9.015172950819672,js2_12
131,9.399243801652892,9.399243801652892,js2_12
132,8.53973388429752,9.338888524590164,js2_12
133,8.7935675,9.520085950413224,js2_12
134,8.519434426229509,8.879885,js2_12
135,9.169193442622952,9.736023333333334,js2_12
136,9.440952459016394,9.440952459016394,js2_12
137,9.544980833333334,9.544980833333334,js2_12
138,9.759063114754099,9.759063114754099,js2_12
140,8.817777049180329,9.45644262295082,js2_12
142,9.335724590163935,9.632382786885247,js2_12
143,8.929004098360656,9.107475409836066,js2_12
144,9.006701652892563,9.006701652892563,js2_12
147,8.95695867768595,9.57445737704918,js2_12
149,9.755173770491803,9.755173770491803,js2_12
150,9.832434426229508,9.832434426229508,js2_12
153,9.303224590163934,9.303224590163934,js2_12
154,9.6727622950819665,9.821173333333334,js2_12
155,9.2007424,9.2007424,js2_12
156,9.226764462809918,9.226764462809918,js2_12
157,9.453828925619835,9.453828925619835,js2_12
159,9.884235,9.884235,js2_12
161,9.7577868852459,9.7577868852459,js2_12
163,9.77860655737705,9.785521487603306,js2_12
164,9.785146666666666,9.794297520661157,js2_12
166,9.867990082644628,9.867990082644628,js2_12
167,9.394019834710743,9.521682644628099,js2_12
168,9.571013223140495,9.950829752066117,js2_12
169,9.519960655737705,9.982009090909091,js2_12
171,9.84368524590164,9.935545833333334,js2_12
173,9.971831404958678,9.971831404958678,js2_12
175,9.935063333333334,9.935063333333334,js2_12
176,9.621919672131147,10.043553333333334,js2_12
177,9.856061475409836,9.856061475409836,js2_12
178,9.954803278688525,9.954803278688525,js2_12
181,10.05285081967213,10.123036666666668,js2_12
184,10.040789344262295,10.040789344262295,js2_12
185,9.769594017094017,9.769594017094017,js2_12
186,10.033669421487604,10.125259016393443,js2_12
188,10.087459016393442,10.087459016393442,js2_12
191,9.963995081967212,10.015268595041322,js2_12
192,10.012728099173554,10.012728099173554,js2_12
194,10.282063333333333,10.282063333333333,js2_12
195,9.89387438016529,10.10542131147541,js2_12
196,10.115678512396695,10.115678512396695,js2_12
198,10.189895,10.189895,js2_12
201,10.272577868852458,10.272577868852458,js2_12
221,9.957945,9.957945,js2_12
246,10.051888524590163,10.051888524590163,js2_12
